time,cereals
76951,26
76961,25
76972,25
76982,26
76993,25
77003,26
77014,24
77024,26
77034,26
77044,24
77054,25
77066,25
77076,25
77086,26
77096,24
77107,25
77117,26
77128,25
77138,25
77149,24
77159,25
77169,25
77179,24
77190,25
77201,26
77211,24
77221,26
77232,24
77242,26
77252,25
77263,25
77274,25
77284,25
77294,25
77304,26
77315,24
77326,26
77336,25
77346,24
77357,25
77367,25
77377,25
77387,26
77399,24
77409,25
77419,26
77429,25
77440,26
77450,24
77461,59
77471,144
77483,188
77494,26
77504,25
77514,26
77526,25
77536,24
77546,26
77556,26
77566,24
77577,26
77587,25
77598,26
77608,26
77619,25
77629,25
77639,25
77649,24
77661,25
77671,24
77681,26
77691,25
77702,25
77712,24
77722,25
77733,25
77744,24
77754,25
77764,25
77774,25
77785,24
77796,25
77806,25
77816,26
77827,25
77837,25
77847,24
77858,24
77869,24
77879,25
77889,25
77899,25
77910,24
77920,24
77931,25
77941,25
77952,24
77962,25
77972,25
77982,25
77993,25
78004,50
78014,137
78025,179
78036,26
78047,25
78058,26
78068,24
78078,25
78089,24
78099,25
78109,24
78119,25
78131,25
78141,25
78151,24
78161,25
78172,24
78182,25
78193,25
78203,25
78214,25
78224,24
78234,25
78244,25
78255,26
78266,24
78276,25
78286,25
78297,25
78307,24
78317,25
78328,25
78339,25
78349,24
78359,25
78369,25
78380,25
78391,24
78401,25
78411,24
78422,24
78432,25
78442,24
78452,25
78464,24
78474,25
78484,25
78494,25
78504,24
78515,26
78526,24
78536,26
78546,40
78557,131
78568,191
78579,25
78590,25
78601,25
78611,25
78621,25
78631,25
78642,25
78652,26
78663,25
78673,25
78684,24
78694,26
78704,25
78714,26
78726,25
78736,25
78746,24
78756,25
78767,24
78777,25
78787,25
78798,25
78809,25
78819,25
78829,24
78839,25
78850,25
78861,24
78871,25
78881,25
78892,25
78902,25
78912,25
78923,25
78934,25
78944,25
78954,26
78964,25
78974,25
78985,25
78996,25
79006,25
79016,25
79027,25
79037,25
79047,25
79058,24
79069,25
79079,25
79089,32
79099,124
79111,188
79123,26
79133,25
79143,26
79154,25
79164,24
79174,25
79184,25
79196,25
79206,25
79216,25
79226,25
79237,25
79247,25
79258,25
79268,25
79279,25
79289,25
79299,24
79309,25
79320,24
79331,25
79341,25
79351,25
79362,24
79372,25
79382,25
