도면 번호,제목,파일명,파일크기,파일수,일련 번호,첨부파일 다운로드 URL,작성일,변경일
"","2023년 토목표준상세도 CAD 파일","토목 표준상세도(CAD).zip","37913443","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11392012","2024-04-16 08:21:32.0","2024-04-16 08:44:02.0"
"C-00-001~004","00.도면표지 및 목록표(2023년)","00. 도면표지 및 목록표.pdf","608987","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11109463","2023-12-14 20:06:55.0","2024-04-16 08:41:18.0"
"C-01-001~006","01. 토공(2023년)","01. 토공.pdf","913819","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11109478","2023-12-14 20:10:48.0","2024-04-16 08:39:27.0"
"C-02-001~070","02. 우수공(2023년)","02. 우수공.pdf","10824756","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11109487","2023-12-14 20:13:24.0","2024-04-16 08:41:07.0"
"C-03-001~011","03. 오수공(2023년)","03. 오수공.pdf","1862535","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11109489","2023-12-14 20:15:13.0","2024-04-16 08:40:56.0"
"C-04-001~022","04. 급수공(2023년)","04. 급수공.pdf","3019150","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11109493","2023-12-14 20:17:01.0","2024-04-16 08:40:45.0"
"C-05-001~037","05. 포장공(2023년)","05. 포장공.pdf","5701887","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11109495","2023-12-14 20:18:52.0","2024-04-16 08:40:27.0"
"C-06-001~032","06. 구조물공(2023년)","06. 구조물공.pdf","4694612","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11109499","2023-12-14 20:20:26.0","2024-04-16 08:40:16.0"
"C-07-001~028","07. 부대공(2023년)","07. 부대공.pdf","6075747","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11109501","2023-12-14 20:22:33.0","2024-04-16 08:40:04.0"
"C-08-001~022","08. 울타리공(2023년)","08. 울타리공.pdf","5156745","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11122960","2023-12-20 16:07:50.0","2024-04-16 08:41:30.0"
"C-08-001~022","24년 표준상세도(울타리공) 부분 개정","신구조문 대비표(울타리공).pdf","610863","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11423919","2024-04-30 08:32:14.0","2024-04-30 08:32:14.0"
"C-09-001~007","09. 심정공(2023년)","09. 심정공.pdf","1152762","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11109527","2023-12-14 20:47:26.0","2024-04-16 08:39:51.0"
"C-10-001~002","10. 조경공(2023년)","10. 조경공.pdf","1045050","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_11109530","2023-12-14 20:48:43.0","2024-04-16 08:39:38.0"
"CD-00-001","도면목록표-1","CD-00-001 도면목록표-1.dwg|CD-00-001 도면목록표-1.pdf","654924","2","001","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_2885738|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_2885739","2016-04-28 09:26:27.0","2016-04-28 09:26:27.0"
"CD-00-002","도면목록표-2","CD-00-002 도면목록표-2.pdf|CD-00-002 도면목록표-2.dwg","693092","2","002 ","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_2885750|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_2885751","2016-04-28 09:28:07.0","2016-04-28 09:28:07.0"
"CD-00-003","도면목록표-3","CD-00-003 도면목록표-3.dwg|CD-00-003 도면목록표-3.pdf","694624","2"," 003 ","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_2885761|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_2885762","2016-04-28 09:29:07.0","2016-04-28 09:29:07.0"
"CD-00-004","도면목록표-4","CD-00-004 도면목록표-4.pdf|CD-00-004 도면목록표-4.dwg","668511","2","004 ","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_2885769|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_2885770","2016-04-28 09:29:58.0","2016-04-28 09:29:58.0"
"CD-00-005","도면목록표-5","CD-00-005 도면목록표-5.dwg|CD-00-005 도면목록표-5.pdf","642043","2","005 ","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_2885778|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_2885779","2016-04-28 09:31:24.0","2016-04-28 09:31:24.0"
"CD-00-006","도면목록표-6","CD-00-006 도면목록표-6.pdf|CD-00-006 도면목록표-6.dwg","646596","2","006","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_2885793|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_2885794","2016-04-28 09:33:02.0","2016-04-28 09:33:02.0"
"CD-00-007","사격장 피탄지 표준상세도","영점사격장 피탄지 표준상세도.pdf","1171562","1","","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_9105056","2021-08-20 16:02:43.0","2021-08-20 16:04:43.0"
"CD-01-002","비탈면 녹화(리핑암)","cd-01-002 비탈면 녹화(리핑암).dwg|CD-01-002 비탈면 녹화(리핑암).pdf","423513","2","008","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12370|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12371","2013-03-18 11:23:25.0","2013-03-18 11:23:25.0"
"CD-01-003","비탈면 녹화(발파암)","cd-01-003 비탈면 녹화(발파암).dwg|CD-01-003 비탈면 녹화(발파암).pdf","426892","2","009","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12373|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12374","2013-03-18 11:26:02.0","2013-03-18 11:26:01.0"
"CD-01-004","비탈면 점검로(전면부)","cd-01-004 비탈면 점검로(전면부).dwg|CD-01-004 비탈면 점검로(전면부).pdf","341655","2","010","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12376|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12377","2013-03-18 11:27:02.0","2013-03-18 11:27:02.0"
"CD-01-005","비탈면 점검로(측면부)","cd-01-005 비탈면 점검로(측면부).dwg|CD-01-005 비탈면 점검로(측면부).pdf","506124","2","011","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12379|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12380","2013-03-18 11:28:15.0","2013-03-18 11:28:14.0"
"CD-01-006","씨앗부착네트/거적설치","cd-01-006 씨앗부착네트,거적설치.dwg|CD-01-006 씨앗부착네트,거적설치.pdf","324392","2","012","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12382|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12383","2013-03-18 11:29:20.0","2013-03-18 11:29:20.0"
"CD-02-001","원심력 철근콘크리트관(고무링접합)","cd-02-001 원심력 철근콘크리트관(고무링접합).dwg|CD-02-001 원심력 철근콘크리트관(고무링접합).pdf","530200","2","013","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12405|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12406","2013-03-18 13:13:10.0","2013-03-18 13:13:09.0"
"CD-02-002","원심력 철근콘크리트관(수밀팩접합)","cd-02-002 원심력 철근콘크리트관(수밀팩접합).dwg|CD-02-002 원심력 철근콘크리트관(수밀팩접합).pdf","620010","2","014","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12408|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12409","2013-03-18 13:14:31.0","2013-03-18 13:14:31.0"
"CD-02-003","원심력 철근콘크리트관(PE수밀벨트접합)","cd-02-003 원심력 철근콘크리트관( pe수밀벨트접합).dwg|CD-02-003 원심력 철근콘크리트관( PE수밀벨트접합).pdf","430887","2","015","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12411|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12412","2013-03-18 13:16:37.0","2013-03-18 13:16:36.0"
"CD-02-004","진동 및 롤전압 철근콘크리트관(고무링접합)","cd-02-004 진동 및 롤전압 철근콘크리트관(고무링접합).dwg|CD-02-004 진동 및 롤전압 철근콘크리트관(고무링접합).pdf","632679","2","016","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12414|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12415","2013-03-18 14:07:13.0","2013-03-18 14:07:12.0"
"CD-02-005","우수연결관 접속(본관천공+PVC접속구)","cd-02-005 우수연결관 접속(본관천공_pvc접속구).dwg|CD-02-005 우수연결관 접속(본관천공_PVC접속구).pdf","891600","2","017","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12417|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12418","2013-03-18 14:08:35.0","2013-03-18 14:08:34.0"
"CD-02-006","우수연결관 접속((본관천공+보호콘크리트)","cd-02-006 우수연결관 접속(본관천공_보호콘크리트).dwg|CD-02-006 우수연결관 접속(본관천공_보호콘크리트).pdf","440527","2","018","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12420|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12421","2013-03-18 14:09:07.0","2013-03-18 14:09:07.0"
"CD-02-007","우·오수 강성관 콘크리트기초(90°)","cd-02-007 우&middot;오수 강성관 콘크리트 기초(90&deg;).dwg|CD-02-007 우&middot;오수 강성관 콘크리트 기초(90&deg;).pdf","770896","2","019","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12431|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12432","2013-03-18 14:09:41.0","2013-03-18 14:09:40.0"
"CD-02-008","우·오수 강성관 콘크리트기초(120°)","cd-02-008 우&middot;오수 강성관 콘크리트 기초(120&deg;).dwg|CD-02-008 우&middot;오수 강성관 콘크리트 기초(120&deg;).pdf","852161","2","020","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12434|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12435","2013-03-18 14:10:07.0","2013-03-18 14:10:07.0"
"CD-02-009","우·오수 강성관 콘크리트기초(180°)","cd-02-009 우&middot;오수 강성관 콘크리트 기초(180&deg;).dwg|CD-02-009 우&middot;오수 강성관 콘크리트 기초(180&deg;).pdf","804719","2","021","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12437|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12438","2013-03-18 14:10:41.0","2013-03-18 14:10:41.0"
"CD-02-010","우·오수 강선관 모래기초","cd-02-010 우&middot;오수 강성관 모래기초.dwg|CD-02-010 우&middot;오수 강성관 모래기초).pdf","430995","2","022","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12440|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12441","2013-03-18 14:11:18.0","2013-03-18 14:11:18.0"
"CD-02-011","우·오수 연성관 모래기초(90°)","cd-02-011 우&middot;오수 연성관 모래기초(90&deg;).dwg|CD-02-011 우&middot;오수 연성관 모래기초(90&deg;).pdf","522695","2","023","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12443|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12444","2013-03-18 14:11:53.0","2013-03-18 14:11:52.0"
"CD-02-012","우·오수 연성관 모래기초(120°)","cd-02-012 우&middot;오수 연성관 모래기초(120&deg;).dwg|CD-02-012 우&middot;오수 연성관 모래기초(120&deg;).pdf","520394","2","024","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12446|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12447","2013-03-18 14:12:46.0","2013-03-18 14:12:45.0"
"CD-02-013","우·오수 연성관 모래기초(180°)","cd-02-013 우&middot;오수 연성관 모래기초(360&deg;).dwg|CD-02-013 우&middot;오수 연성관 모래기초(360&deg;).pdf","755514","2","025","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12449|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12450","2013-03-18 14:13:15.0","2013-03-18 14:13:14.0"
"CD-02-014","원형맨홀, PE거푸집(슬래브식, D900)","cd-02-014 원형맨홀, pe거푸집(슬래브식, d900).dwg|CD-02-014 원형맨홀, PE거푸집(슬래브식, D900).pdf","747787","2","026","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12452|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12453","2013-03-18 14:13:41.0","2013-03-18 14:13:40.0"
"CD-02-015","원형맨홀, PE거푸집(슬래브식, D1200)","cd-02-015 원형맨홀, pe거푸집(슬래브식, d1200).dwg|CD-02-015 원형맨홀, PE거푸집(슬래브식, D1200).pdf","896462","2","027","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12455|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12456","2013-03-18 14:14:34.0","2013-03-18 14:14:33.0"
"CD-02-016","원형맨홀, PE거푸집(슬래브식, D1500)","cd-02-016 원형맨홀, pe거푸집(슬래브식, d1500).dwg|CD-02-016 원형맨홀, PE거푸집(슬래브식, D1500).pdf","859133","2","028","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12458|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12459","2013-03-18 14:15:10.0","2013-03-18 14:15:10.0"
"CD-02-017","원형맨홀, PE거푸집(슬래브식, D1800)","cd-02-017 원형맨홀, pe거푸집(슬래브식, d1800).dwg|CD-02-017 원형맨홀, PE거푸집(슬래브식, D1800).pdf","837409","2","029","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12461|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12462","2013-03-18 14:15:40.0","2013-03-18 14:15:40.0"
"CD-02-018","원형맨홀, 강재거푸집(슬래브식, D900)","cd-02-018 원형맨홀, 강재거푸집(슬래브식, d900).dwg|CD-02-018 원형맨홀, 강재거푸집(슬래브식, D900).pdf","779286","2","030","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12464|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12465","2013-03-18 14:16:16.0","2013-03-18 14:16:15.0"
"CD-02-019","원형맨홀, 강재거푸집(슬래브식, D1200)","cd-02-019 원형맨홀, 강재거푸집(슬래브식, d1200).dwg|CD-02-019 원형맨홀, 강재거푸집(슬래브식, D1200).pdf","920102","2","031","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12467|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12468","2013-03-18 14:16:53.0","2013-03-18 14:16:52.0"
"CD-02-020","원형맨홀, 강재거푸집(슬래브식, D1500)","cd-02-020 원형맨홀, 강재거푸집(슬래브식, d1500).dwg|CD-02-020 원형맨홀, 강재거푸집(슬래브식, D1500).pdf","857919","2","032","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12470|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12471","2013-03-18 14:17:35.0","2013-03-18 14:17:35.0"
"CD-02-021","원형맨홀, 강재거푸집(슬래브식, D1800)","cd-02-021 원형맨홀, 강재거푸집(슬래브식, d1800).dwg|CD-02-021 원형맨홀, 강재거푸집(슬래브식, D1800).pdf","861490","2","033","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12473|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12474","2013-03-18 14:18:08.0","2013-03-18 14:18:07.0"
"CD-02-022","각형맨홀 슬래브식 일반도(1.2X1.2 H=1.2~H=2.5m)","cd-02-022 각형맨홀 슬래브식 일반도(1.2X1.2, H 1.2_2.5m).dwg|CD-02-022 각형맨홀 슬래브식 일반도(1.2X1.2, H 1.2_2.5m).pdf","624353","2","034","http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12476|http://www.dia.mil.kr/common/downLoad.action?siteId=dia&fileSeq=I_12477","2013-03-18 14:21:40.0","2013-03-18 14:21:39.0"
